Learn Python the Hard Way,52,
Completed Ex. 1,05/16/13,03:04:00 PM
Completed Ex. 2,05/16/13,03:19:00 PM
Completed Ex.3,05/16/13,03:34:00 PM
Completed Ex. 4,05/16/13,03:44:00 PM
Completed Ex. 5,05/16/13,03:54:00 PM
Completed Ex. 6,05/16/13,04:04:00 PM
